question,answer,first_instruction,history,current_view_coord,previous_views_coord,map_name,gps_botm_left,gps_top_right,lng_ratio,lat_ratio
" I am on the dark building in leftside of road, What is the destination look like? Which direction should I go?.  ", Your destination is a large grey building next to a road with less vehicles. Just move to your right past the road. You will see a large grew building next to a road slightly tilted in your direction. That is your destination.  , Could you please go to the left side continue the walking to the road. And turn on the left side the walking for the road. You need get to the destination building. And you achieve to the destination block.  ,"[' [INS] Could you please go to the left side continue the walking to the road. And turn on the left side the walking for the road. You need get to the destination building. And you achieve to the destination block..  ', ""[QUE] I am near the buildings, What is destination's color and shape? In what direction is our destination?.  [INS] go to the left side and continue walking up the road. And it goes on the left side of the road. You need to get to the destination building which is a dark gray building..  ""]","[[36.70052532445664, 3.167221006363188], [36.70042512202337, 3.1686539185996505], [36.69899220348939, 3.1685537203647205], [36.699092409071426, 3.1671208032301883]]","[[[36.701731874045926, 3.16867633218724], [36.70148626406434, 3.172188621900661], [36.69797395720768, 3.171943017997928], [36.69821957545476, 3.168430719712885]]]",1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I am on the large grey building next to the road, Am I near the destination? How to go to destinaton?.  "," your are close to your destination, go backwards, then to your left, your goal is the long grey building.  ", Could you please go to the left side continue the walking to the road. And turn on the left side the walking for the road. You need get to the destination building. And you achieve to the destination block.  ,"[' [INS] Could you please go to the left side continue the walking to the road. And turn on the left side the walking for the road. You need get to the destination building. And you achieve to the destination block..  ', ""[QUE] I am near the buildings, What is destination's color and shape? In what direction is our destination?.  [INS] go to the left side and continue walking up the road. And it goes on the left side of the road. You need to get to the destination building which is a dark gray building..  "", '[QUE] I am on the dark building in leftside of road, What is the destination look like? Which direction should I go?.  [INS] Your destination is a large grey building next to a road with less vehicles. Just move to your right past the road. You will see a large grew building next to a road slightly tilted in your direction. That is your destination..  ']","[[36.700695749813775, 3.1681839450081757], [36.70061058970203, 3.169401746274049], [36.69939277846509, 3.1693165898358546], [36.69947794137573, 3.1680987857710843]]","[[[36.701731874045926, 3.16867633218724], [36.70148626406434, 3.172188621900661], [36.69797395720768, 3.171943017997928], [36.69821957545476, 3.168430719712885]], [[36.70052532445664, 3.167221006363188], [36.70042512202337, 3.1686539185996505], [36.69899220348939, 3.1685537203647205], [36.699092409071426, 3.1671208032301883]]]",1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I am on the right side of the road, What is the destination look like? Which direction should I go?.  ", The destination is a rectangular building with a gray roof.Go in the 2 o'clock direction from your current position.  ," Drone, Please take 1 o' clock position. Go forward along the road till it turns right. Turn along the road to your right and go forward straight. The first rectangle building adjacent to the road right side is the destination.  ","["" [INS] Drone, Please take 1 o' clock position. Go forward along the road till it turns right. Turn along the road to your right and go forward straight. The first rectangle building adjacent to the road right side is the destination..  ""]","[[36.695676600872325, 3.166458445679846], [36.698177350528326, 3.166721254095696], [36.69791451346751, 3.1692221038997257], [36.695413743169645, 3.168959253544155]]",[],1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I am on the rectangle building at 2 o clock, How does the destination look like? Where should I go now?.  "," Turn to your 6 - fly over the field, the destination is the building on the other side of the field.  "," Drone, Please take 1 o' clock position. Go forward along the road till it turns right. Turn along the road to your right and go forward straight. The first rectangle building adjacent to the road right side is the destination.  ","["" [INS] Drone, Please take 1 o' clock position. Go forward along the road till it turns right. Turn along the road to your right and go forward straight. The first rectangle building adjacent to the road right side is the destination..  "", ""[QUE] I am on the right side of the road, What is the destination look like? Which direction should I go?.  [INS] The destination is a rectangular building with a gray roof.Go in the 2 o'clock direction from your current position..  ""]","[[36.697452405312035, 3.1669272485155266], [36.69845199705352, 3.167032297063854], [36.698346930662225, 3.1680319838803674], [36.69734733227336, 3.1679269192383828]]","[[[36.695676600872325, 3.166458445679846], [36.698177350528326, 3.166721254095696], [36.69791451346751, 3.1692221038997257], [36.695413743169645, 3.168959253544155]]]",1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I turn 6 o clock on the building after the road, How does the destination look like? Where should I go now?.  ", The destination looks like a rectangular gray warehouses area.  In order to reach your destination you should turn back 180 degrees and move straight forward in east direction.  ," Drone, Please take 1 o' clock position. Go forward along the road till it turns right. Turn along the road to your right and go forward straight. The first rectangle building adjacent to the road right side is the destination.  ","["" [INS] Drone, Please take 1 o' clock position. Go forward along the road till it turns right. Turn along the road to your right and go forward straight. The first rectangle building adjacent to the road right side is the destination..  "", ""[QUE] I am on the right side of the road, What is the destination look like? Which direction should I go?.  [INS] The destination is a rectangular building with a gray roof.Go in the 2 o'clock direction from your current position..  "", '[QUE] I am on the rectangle building at 2 o clock, How does the destination look like? Where should I go now?.  [INS] Turn to your 6 - fly over the field, the destination is the building on the other side of the field.  ']","[[36.69797072639863, 3.1684294679323135], [36.69854142847386, 3.1684894440945435], [36.698481439716595, 3.1690602304865423], [36.69791073449261, 3.169000246627346]]","[[[36.695676600872325, 3.166458445679846], [36.698177350528326, 3.166721254095696], [36.69791451346751, 3.1692221038997257], [36.695413743169645, 3.168959253544155]], [[36.697452405312035, 3.1669272485155266], [36.69845199705352, 3.167032297063854], [36.698346930662225, 3.1680319838803674], [36.69734733227336, 3.1679269192383828]]]",1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I am on the road now, Am I near the destination? Which direction should I go?.  "," Yes, fate is in your field of vision. Go in the 1 o'clock direction from your current position.  "," Hi drone, turn left and passing over the street, your destination is the second small building.  ","[' [INS] Hi drone, turn left and passing over the street, your destination is the second small building..  ']","[[36.69634675694086, 3.1664760467664737], [36.69755197139244, 3.169787283493781], [36.694243425454644, 3.170991517281861], [36.6930382106532, 3.167680280904416]]",[],1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I am on the buildings near road,, What is destination's color and shape? How to go to destinaton?.  ", Destination is square and gray. You should go to your four o'clock.  ," Hi drone, turn left and passing over the street, your destination is the second small building.  ","[' [INS] Hi drone, turn left and passing over the street, your destination is the second small building..  ', ""[QUE] I am on the road now, Am I near the destination? Which direction should I go?.  [INS] Yes, fate is in your field of vision. Go in the 1 o'clock direction from your current position..  ""]","[[36.697846803200996, 3.1673672268700526], [36.697846817895204, 3.1701003259026517], [36.69511659263, 3.170100339547274], [36.695116568839374, 3.167367243488503]]","[[[36.69634675694086, 3.1664760467664737], [36.69755197139244, 3.169787283493781], [36.694243425454644, 3.170991517281861], [36.6930382106532, 3.167680280904416]]]",1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I move to north east and pass few buildings, What is the destination look like? How to go to destinaton?.  ", Please turn on the south and fly up to the small quadruple building - it's your destination.  ," Hi drone, turn north east and passing by the various containers, the destination is the second by the vacant area.  ","[' [INS] Hi drone, turn north east and passing by the various containers, the destination is the second by the vacant area..  ']","[[36.698507595857805, 3.1717832694789965], [36.69805951345578, 3.1738913650376013], [36.69595140110379, 3.1734432931314402], [36.69639949715044, 3.171335183928213]]",[],1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I am on the small quadruple buildings, What is destination's color and shape? How to go to destinaton?.  ", Turn to the west. The destination is the first rectangular storage bin with a brown roof.  ," Hi drone, turn north east and passing by the various containers, the destination is the second by the vacant area.  ","[' [INS] Hi drone, turn north east and passing by the various containers, the destination is the second by the vacant area..  ', ""[QUE] I move to north east and pass few buildings, What is the destination look like? How to go to destinaton?.  [INS] Please turn on the south and fly up to the small quadruple building - it's your destination..  ""]","[[36.69725917666516, 3.172306883581047], [36.696945587206855, 3.1737822262198643], [36.69547024001983, 3.1734686441086635], [36.69578383542579, 3.171993294122742]]","[[[36.698507595857805, 3.1717832694789965], [36.69805951345578, 3.1738913650376013], [36.69595140110379, 3.1734432931314402], [36.69639949715044, 3.171335183928213]]]",1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I move left on the small brown rectangle bin, How does the destination look like? Where should I go now?.  ", Looks like you just flew past the destination. Move towards your 2 o'clock direction. The first building you see is our destination. It is a structure  with light brown top.  ," Hi drone, turn north east and passing by the various containers, the destination is the second by the vacant area.  ","[' [INS] Hi drone, turn north east and passing by the various containers, the destination is the second by the vacant area..  ', ""[QUE] I move to north east and pass few buildings, What is the destination look like? How to go to destinaton?.  [INS] Please turn on the south and fly up to the small quadruple building - it's your destination..  "", ""[QUE] I am on the small quadruple buildings, What is destination's color and shape? How to go to destinaton?.  [INS] Turn to the west. The destination is the first rectangular storage bin with a brown roof..  ""]","[[36.69674586375812, 3.1723024132941613], [36.696596658412844, 3.173004385733192], [36.695894690522024, 3.172855180038054], [36.69604389691688, 3.172153207599023]]","[[[36.698507595857805, 3.1717832694789965], [36.69805951345578, 3.1738913650376013], [36.69595140110379, 3.1734432931314402], [36.69639949715044, 3.171335183928213]], [[36.69725917666516, 3.172306883581047], [36.696945587206855, 3.1737822262198643], [36.69547024001983, 3.1734686441086635], [36.69578383542579, 3.171993294122742]]]",1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I am on the building after move northeast, Can I see the destination? Which direction should I go?.  "," Take off and getup on straight, slightly move 15 degree left, and go straight , the land on the roof of the building.  ", Please head north east… And make your way to the building that says mono pole on the roof.  ,[' [INS] Please head north east… And make your way to the building that says mono pole on the roof..  '],"[[36.69890966583712, 3.1703112516919956], [36.69840334713716, 3.1710081455326007], [36.69770413615978, 3.1705001429462842], [36.69821045485975, 3.169803248755817]]",[],1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I am on top of the building near the soccer field, Am I near the destination? In what direction is our destination?.  ", Go east to brown building.  , Please head north east… And make your way to the building that says mono pole on the roof.  ,"[' [INS] Please head north east… And make your way to the building that says mono pole on the roof..  ', '[QUE] I am on the building after move northeast, Can I see the destination? Which direction should I go?.  [INS] Take off and getup on straight, slightly move 15 degree left, and go straight , the land on the roof of the building.  ']","[[36.700970627156735, 3.1696382261026734], [36.700752868342214, 3.171710138221874], [36.698678105983845, 3.171492080362711], [36.69889586401118, 3.169420167893648]]","[[[36.69890966583712, 3.1703112516919956], [36.69840334713716, 3.1710081455326007], [36.69770413615978, 3.1705001429462842], [36.69821045485975, 3.169803248755817]]]",1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I am on the trees with small red building, Can I see the destination? How to go to destinaton?.  "," Destination is at your eleven o'clock, it is a building with an orange object on the roof.  ", Destination is a small red roofed rectangular building underneath of some trees to your nine o'clock direction.  ,"["" [INS] Destination is a small red roofed rectangular building underneath of some trees to your nine o'clock direction..  ""]","[[36.69879292486239, 3.1711271562725756], [36.69963151513268, 3.1713362412181385], [36.699423119065614, 3.172172056906945], [36.69858452879533, 3.171962968112899]]",[],1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I am on the red building on 11 o clock direction, Can I see the destination? How to go to destinaton?.  "," You are quite close and can see the destination, just turn on 2 o'clock and the next building is it.  ", Destination is a small red roofed rectangular building underneath of some trees to your nine o'clock direction.  ,"["" [INS] Destination is a small red roofed rectangular building underneath of some trees to your nine o'clock direction..  "", ""[QUE] I am on the trees with small red building, Can I see the destination? How to go to destinaton?.  [INS] Destination is at your eleven o'clock, it is a building with an orange object on the roof..  ""]","[[36.69682948912129, 3.1686609491078577], [36.699456706408945, 3.167907605190324], [36.700209255089895, 3.1705320918041866], [36.69758203447855, 3.171285404758923]]","[[[36.69879292486239, 3.1711271562725756], [36.69963151513268, 3.1713362412181385], [36.699423119065614, 3.172172056906945], [36.69858452879533, 3.171962968112899]]]",1432,"[36.69291700559716, 3.1662469981589223]","[36.70195085957988, 3.1774615280728966]",2.865235031674553e-06,2.8660704259908085e-06
" I am on top of the 6 buildings, Can I see the destination? In what direction is our destination?.  ", SOUTH EAST.  ," Hey drone, head southeast, go through the dirt terrain and go to building 6 (count from top to bottom) on the first row, this is your destination.  ","[' [INS] Hey drone, head southeast, go through the dirt terrain and go to building 6 (count from top to bottom) on the first row, this is your destination..  ']","[[-29.728924818380452, -71.23766050482321], [-29.729772683583473, -71.23853847122992], [-29.728892373080523, -71.23938857186768], [-29.728044517326328, -71.23851059916177]]",[],1600,"[-29.731746168455253, -71.24345658783695]","[-29.722554350535706, -71.23292750092662]",3.2228610071380534e-06,3.2251992700161527e-06
" I move southeast, Am I near the destination? Which direction should I go?.  ", You should return - please turn on 180 degrees and fly up to the row of old trucks - you need the fourth one from the west side.  ," Hey drone, head southeast, go through the dirt terrain and go to building 6 (count from top to bottom) on the first row, this is your destination.  ","[' [INS] Hey drone, head southeast, go through the dirt terrain and go to building 6 (count from top to bottom) on the first row, this is your destination..  ', '[QUE] I am on top of the 6 buildings, Can I see the destination? In what direction is our destination?.  [INS] SOUTH EAST.  ']","[[-29.728982345545163, -71.23616127792114], [-29.73072539015992, -71.23701139509434], [-29.729873828103738, -71.23875735309713], [-29.728130788213388, -71.23790722765618]]","[[[-29.728924818380452, -71.23766050482321], [-29.729772683583473, -71.23853847122992], [-29.728892373080523, -71.23938857186768], [-29.728044517326328, -71.23851059916177]]]",1600,"[-29.731746168455253, -71.24345658783695]","[-29.722554350535706, -71.23292750092662]",3.2228610071380534e-06,3.2251992700161527e-06
" I move to the backside, Am I near the destination? Which direction should I go?.  ", You are near the destination. You need to turn to your 2 clock and continue on that path to your destination.  ," Hello, you must return in the opposite direction; your destination is on the trail.  ","[' [INS] Hello, you must return in the opposite direction; your destination is on the trail..  ']","[[1.3387384753279683, 104.0092402644371], [1.3375208243881573, 104.00986069665049], [1.3369003873639802, 104.00864305009193], [1.3381180394205798, 104.00802261134962]]",[],1056,"[1.33096691683457, 104.00436485950371]","[1.340017126204404, 104.0133524560268]",2.8138999759180976e-06,2.8149951383621007e-06
" I am on the path, Can I see the destination? In what direction is our destination?.  ", Go northwest to parking lot.  ," Hello, you must return in the opposite direction; your destination is on the trail.  ","[' [INS] Hello, you must return in the opposite direction; your destination is on the trail..  ', '[QUE] I move to the backside, Am I near the destination? Which direction should I go?.  [INS] You are near the destination. You need to turn to your 2 clock and continue on that path to your destination..  ']","[[1.3387528491660876, 104.0110542782606], [1.3366703237005189, 104.01094515115292], [1.336779445310156, 104.00886262723367], [1.33886197335293, 104.00897174953057]]","[[[1.3387384753279683, 104.0092402644371], [1.3375208243881573, 104.00986069665049], [1.3369003873639802, 104.00864305009193], [1.3381180394205798, 104.00802261134962]]]",1056,"[1.33096691683457, 104.00436485950371]","[1.340017126204404, 104.0133524560268]",2.8138999759180976e-06,2.8149951383621007e-06
" I passed the street, Can I see the destination? Which direction should I go?.  ", hi dron the brown building  on above you at present is your goal.  ," Hi drone, head north west and passing the street the destination is on the left.  ","[' [INS] Hi drone, head north west and passing the street the destination is on the left..  ']","[[1.3359287283170524, 104.00611527078371], [1.3383313665284156, 104.0086917882071], [1.3357548497922762, 104.01109442710573], [1.3333522091755217, 104.00851791002596]]",[],1056,"[1.33096691683457, 104.00436485950371]","[1.340017126204404, 104.0133524560268]",2.8138999759180976e-06,2.8149951383621007e-06
" I move to the close brown building, What is the destination look like? How to go to destinaton?.  ", Destination is a black rectangular building. You should go to your five o'clock.  ," Hi drone, head north west and passing the street the destination is on the left.  ","[' [INS] Hi drone, head north west and passing the street the destination is on the left..  ', '[QUE] I passed the street, Can I see the destination? Which direction should I go?.  [INS] hi dron the brown building  on above you at present is your goal.  ']","[[1.3358617988832346, 104.00803108886942], [1.3363036166999052, 104.00850488189697], [1.3358298240159716, 104.00894670108815], [1.3353880037939099, 104.00847290840422]]","[[[1.3359287283170524, 104.00611527078371], [1.3383313665284156, 104.0086917882071], [1.3357548497922762, 104.01109442710573], [1.3333522091755217, 104.00851791002596]]]",1056,"[1.33096691683457, 104.00436485950371]","[1.340017126204404, 104.0133524560268]",2.8138999759180976e-06,2.8149951383621007e-06
" I pass the car park, Am I near the destination? Where should I go now?.  ", You are in your destination.  ," Hi drone, go straight ahead pass an avenue, after the avenue you will see several trees, Keep straight ahead your destination is in front of the car park.  ","[' [INS] Hi drone, go straight ahead pass an avenue, after the avenue you will see several trees, Keep straight ahead your destination is in front of the car park..  ']","[[1.3389105927646243, 104.00813605104877], [1.3397311719656528, 104.00989578210081], [1.3379714582238371, 104.01071634802923], [1.337150874083166, 104.00895662969141]]",[],1056,"[1.33096691683457, 104.00436485950371]","[1.340017126204404, 104.0133524560268]",2.8138999759180976e-06,2.8149951383621007e-06
" I am at the second road, $se How to go to destinaton?.  ", Please turn right and change direction to East at 3 O'clock.  ," Turn to 8 o clock. Continue straight until you pass over two 4-way intersections. At the second 4-way intersection, the destination is on the right in the second group of buildings.  ","[' [INS] Turn to 8 o clock. Continue straight until you pass over two 4-way intersections. At the second 4-way intersection, the destination is on the right in the second group of buildings..  ']","[[19.43942196752337, -99.04326979012781], [19.438566119804786, -99.04007583257953], [19.435372139075398, -99.04093167933225], [19.43622798688179, -99.0441256389879]]",[],569,"[19.431595562628026, -99.04907330168115]","[19.440635938835126, -99.03954614328623]",2.8765574863891204e-06,2.877268048090887e-06
" I move east and on the building group, What is the destination look like? In what direction is our destination?.  "," Your destination looks like a block of buildings, you should turn on 9 o'clock and cross the road.  "," Turn to 8 o clock. Continue straight until you pass over two 4-way intersections. At the second 4-way intersection, the destination is on the right in the second group of buildings.  ","[' [INS] Turn to 8 o clock. Continue straight until you pass over two 4-way intersections. At the second 4-way intersection, the destination is on the right in the second group of buildings..  ', ""[QUE] I am at the second road, $se How to go to destinaton?.  [INS] Please turn right and change direction to East at 3 O'clock.  ""]","[[19.438242638962354, -99.041528869137], [19.437870492684514, -99.04014004430374], [19.436481657314392, -99.0405121897035], [19.436853803065386, -99.04190101664413]]","[[[19.43942196752337, -99.04326979012781], [19.438566119804786, -99.04007583257953], [19.435372139075398, -99.04093167933225], [19.43622798688179, -99.0441256389879]]]",569,"[19.431595562628026, -99.04907330168115]","[19.440635938835126, -99.03954614328623]",2.8765574863891204e-06,2.877268048090887e-06
" I am on the red building, Can I see the destination? Where should I go now?.  "," Move towards 6 o'clock direction, move towards 3 o'clock direction, red colored building with plants is your destination.  ", Please move south and pass the buildings and roads until you get to the most south road; There will be a small red building next to a long red building.  ,[' [INS] Please move south and pass the buildings and roads until you get to the most south road; There will be a small red building next to a long red building..  '],"[[19.43238705504177, -99.04503774737849], [19.432393330801716, -99.04539735074154], [19.43275293521846, -99.04539107568405], [19.432746661565886, -99.04503147196976]]",[],569,"[19.431595562628026, -99.04907330168115]","[19.440635938835126, -99.03954614328623]",2.8765574863891204e-06,2.877268048090887e-06
" I move 6 and 3 o clock on red building with green, What is the destination look like? In what direction is our destination?.  ", The destination looks like a small building covered by a tree. Move to the north to reach the destination.  , Please move south and pass the buildings and roads until you get to the most south road; There will be a small red building next to a long red building.  ,"[' [INS] Please move south and pass the buildings and roads until you get to the most south road; There will be a small red building next to a long red building..  ', ""[QUE] I am on the red building, Can I see the destination? Where should I go now?.  [INS] Move towards 6 o'clock direction, move towards 3 o'clock direction, red colored building with plants is your destination..  ""]","[[19.432450066053917, -99.04509853637835], [19.432470142304116, -99.04624867967449], [19.433620268390033, -99.04622861185378], [19.433600209701286, -99.04507846890887]]","[[[19.43238705504177, -99.04503774737849], [19.432393330801716, -99.04539735074154], [19.43275293521846, -99.04539107568405], [19.432746661565886, -99.04503147196976]]]",569,"[19.431595562628026, -99.04907330168115]","[19.440635938835126, -99.03954614328623]",2.8765574863891204e-06,2.877268048090887e-06
